Threshold,Accuracy,Precision,Recall,F1
0.10,0.9668,0.9505,0.9143,0.9320
0.15,0.9645,0.9500,0.9048,0.9268
0.20,0.9668,0.9691,0.8952,0.9307
0.25,0.9645,0.9688,0.8857,0.9254
0.30,0.9645,0.9688,0.8857,0.9254
0.35,0.9645,0.9688,0.8857,0.9254
0.40,0.9645,0.9688,0.8857,0.9254
0.45,0.9645,0.9688,0.8857,0.9254
0.50,0.9621,0.9684,0.8762,0.9200
0.55,0.9621,0.9684,0.8762,0.9200
0.60,0.9621,0.9684,0.8762,0.9200
0.65,0.9621,0.9684,0.8762,0.9200
0.70,0.9621,0.9684,0.8762,0.9200
0.75,0.9597,0.9681,0.8667,0.9146
0.80,0.9573,0.9677,0.8571,0.9091
0.85,0.9573,0.9677,0.8571,0.9091
0.90,0.9550,0.9674,0.8476,0.9036
0.95,0.9573,0.9780,0.8476,0.9082
